Fármaco(s),Forma Farmacéutica,Concentración,Fracción (Art. 226 LGS),Denominación Distintiva,Registro Sanitario,Titular,Indicación terapéutica
LATANOPROST / TIMOLOL,Solución,50 mcg/5 mg/1 mL,IV,XALACOM,368M2001 SSA,ROTTAPHARM LIMITED,Disminución adicional de la P.I.O. Para el tratamiento del glaucoma.
LEFLUNOMIDA,Comprimido,"10 mg, 20 mg   y
100 mg",IV,ARAVA,170M99 SSA,"SANOFI PASTEUR, S.A. DE C.V.",Antirreumático.
LENALIDOMIDA,Cápsula,"5 mg, 10 mg, 15 mg,
20 mg y 25 mg",IV,REVLIMID,101M2010 SSA,CELGENE INTERNACIONAL SÀRL,Para el tratamiento del Mieloma Múltiple y Síndrome Mielodisplásico.
LENVATINIB,Cápsula,4 mg  y  10 mg,IV,LENVIXI,005M2018 SSA,EISAI INC,"Indicado en combinación con Everolimus para el tratamiento de pacientes con cáncer de células renales avanzado posterior a la terapia previa dirigida al factor de crecimiento del endotelio vascular.
Indicado para el tratamiento de pacientes con cáncer de tiroides diferenciado, refractario a iodo radiactivo, progresivo. Indicado como monoterpai para el tratamiento de pacientes adultos con carcinoma hepatocelular (CHC) avanzado o irresecable que no han recibido tratamiento sistémico previo."
"LERCANIDIPINO, Clorhidrato de",Tableta,10 mg  y  20 mg,IV,ZANIDIP,135M2002 SSA,"GRIMANN, S.A. DE C.V.",Antihipertensivo.
LETROZOL,Tableta,2.5 mg,IV,FEMARA,521M98 SSA,NOVARTIS PHARMA AG,"Para el tratamiento del cáncer de mama avanzado en  mujeres con estado postmenopáusico. Para el tratamiento del cáncer de mama de primera línea y preoperatorio, tratamiento adyuvante extendido (de continuación) en el cáncer de mama temprano. En mujeres postmenopáusicas que han recibido previamente una terapia adyuvante estándar a base de tamoxifeno."
LEUPRORELINA,Suspensión (Inyectable),"3.75 mg, 7.5 mg y
11.25 mg",IV,LUCRIN DEPOT,468M90 SSA,ABBVIE INC,Para el tratamiento del cáncer de próstata. Tratamiento androgénico.
LEUPRORELINA,Solución (Inyectable),5 mg / 1mL,IV,LUCRIN,443M89 SSA,ABBVIE INC,Para el tratamiento del cáncer de próstata avanzado.
"LEUPRORELINA, Acetato de",Suspensión (Inyectable),"7.5 mg, 22.5 mg y
45 mg",IV,ELIGARD,626M2003 SSA,"ASOFARMA DE MÉXICO, S.A. DE C.V.",Tratamiento de cáncer avanzado de próstata.
LEVETIRACETAM,Tableta,500 mg     y     1 g,IV,KEPPRA,314M2001 SSA,"PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.",Anticonvulsivante.
LEVETIRACETAM,Tableta (Liberación prolongada),500 mg,IV,KEPPRA XR,132M2013,"PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.",Antiepiléptico.
LEVETIRACETAM,Solución,100 mg / mL,IV,KEPPRA,069M2007 SSA,"PRODUCTOS FARMACÉUTICOS,
S.A. DE C.V.",Antiepiléptico.
LEVETIRACETAM,Solución (Inyectable),500 mg / 5 mL,IV,KEPPRA,038M2010 SSA,"PRODUCTOS FARMACÉUTICOS,
S.A. DE C.V.",Antiepiléptico.
LEVOCARNITINA,Tableta (Masticable),1 g,IV,CARDISPAN,037M93 SSA,"LABORATORIOS GROSSMAN, S.A.",Para el tratamiento de las deficiencias primarias y secundarias de la L-carnitina.
LEVOCARNITINA,Solución,"10 g / 100 mL   y
30 g / 100 mL",IV,CARDISPAN,508M89 SSA,"LABORATORIOS GROSSMAN, S.A.",Para el tratamiento por deficiencia de L-carnitina.
LEVOCARNITINA,Solución (Inyectable),1 g / 5 mL,IV,CARDISPAN,509M89 SSA,"LABORATORIOS GROSSMAN, S.A.",Tratamiento por deficiencia de L-carnitina.
"LEVOCETIRIZINA,
Diclorhidrato de",Tableta,5 mg,VI,XUZAL,192M2003 SSA,UCB FARCHIM SA,Antihistamínico.
"LEVOCETIRIZINA,
Diclorhidrato de",Solución,"5 mg / 1 mL;
50 mg / 100 mL  y
500 mg / 100 mL",VI,XUZAL,236M2009 SSA,UCB FARCHIM SA,Antihistamínico.
LEVODROPROPIZINA,Solución,60 mg / 1mL,IV,ZYPLO,576M97 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Antitusivo.
LEVODROPROPIZINA,Jarabe,600 mg / 100 mL,IV,ZYPLO,564M97 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Antitusivo.
LEVOFLOXACINO (Hemihidratado),Tableta,500 mg     y     750 mg,IV,ELEQUINE,091M97SSA,"JANSSEN-CILAG, S.A. DE C.V.",Antimicrobiano (quinolona) para infecciones ocasionadas por gérmenes sensibles.
"LEVOMEPROMAZINA,
Maleato de",Tableta,25 mg,III,SINOGAN,51536 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.","Antipsicótico, analgésico."
"LEVOMEPROMAZINA, Clorhidrato de",Solución (Inyectable),25 mg / 1 mL,III,SINOGAN,51340 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.",Neuroléptico.
LEVONORGESTREL,Sistema de liberación,19.5 mg  y   52 mg,IV,MIRENA,259M99 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Anticonceptivo y preventivo de hiperplasia endometrial durante la Terapia de Reemplazo Hormonal.
LEVONORGESTREL,Implante,75 mg,IV,JADELLE,044M2011 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Anticonceptivo.
LEVONORGESTREL,Tableta,1.5 mg,IV,POSTINOR,336M99 SSA,GEDEON RICHTER PLC,Anticonceptivo de emergencia (post-coital únicamente).
LEVONORGESTREL,Comprimido,0.75 mg  y  1.50 mg,V,POST-DAY,409M2002 SSA,"INVESTIGACIÓN FARMACÉUTICA,
S.A. DE C.V.",Anticonceptivo de emergencia.
LEVONORGESTREL/ ETINILESTRADIOL,Tableta,0.150 mg / 0.030 mg,VI,NORDET,82677 SSA,"PFIZER, S.A. DE C.V.",Anovulatorio.
LEVOPANTOPRAZOL,Tableta,20 mg,IV,GAMO,247M2015 SSA,"GRIMANN, S.A. DE C.V.",Cicatrización y prevención de lesiones ácido pépticas esófago gastroduodenales y para alivio de los síntomas gastrointestinales asociados a la enfermedad ácido péptica  en aquellos casos en los que se requiere de un control y reducción sostenida de la secreción gástrica de ácido clorhídrico.
LEVOSIMENDAN,Solución (Inyectable),12.5 mg / 5 mL,IV,SIMDAX,106M2002 SSA,ABBVIE INC,Cardiotónico.
LEVOSULPIRIDA,Comprimido,25 mg,IV,DISLEP,131M2005 SSA,"FERRER INTERNACIONAL, S.A.","Procinético, Antiemético."
LEVOTIROXINA SÓDICA,Tableta,"25 mcg; 50 mcg;
75 mcg; 88 mcg;
100 mcg; 112 mcg;
125 mcg; 137 mcg;
150 mcg; 175 mcg         y
200 mcg",IV,EUTIROX,297M89 SSA,"MERCK, S.A. DE C.V.",Para el tratamiento del hipotiroidismo.
LEVOTIROXINA SÓDICA,Tableta,"25 mcg, 50 mcg,
75 mcg, 88 mcg,
100 mcg, 112 mcg,
125 mcg, 137 mcg,
150 mcg, 175 mcg
y   200 mcg",IV,SYNTHROID,127M2015 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Para el tratamiento del hipotiroidismo y supresión de TSH de hipófisis.
LEVOTIROXINA SÓDICA / LIOTIRONINA SÓDICA,Tableta,30 mcg / 120 mcg,IV,CYNOPLUS,81906 SSA,"LABORATORIOS GROSSMAN, S.A.",Para el tratamiento del hipotiroidismo
LEVOTIROXINA SÓDICA / LIOTIRONINA SÓDICA,Tableta,100 mcg / 20 mcg,IV,NOVOTIRAL,81884 SSA,"MERCK, S.A. DE C.V.",Para el tratamiento del hipotiroidismo
"LIDAMIDINA, Clorhidrato de",Tableta,4 mg,IV,SUPRA,224M83 SSA,"LABORATORIOS GROSSMAN, S.A.",Para el tratamiento del síndrome de intestino irritable.
LIDOCAINA / PRILOCAINA,Crema,2.5 g / 2.5 g / 100 g,VI,EMLA,120M98 SSA,ASPEN PHARMA PTY LTD,Anestésico tópico.
LIDOCAINA / PRILOCAINA,Parche,25 mg /  25 mg,VI,EMLA,375M2002 SSA,ASPEN PHARMA PTY LTD,Anestésico local.
"LIDOCAINA, Clorhidrato de",Solución,1 g / 100 mL,IV,UVEGA,19568 SSA,"GRIMANN, S.A. DE C.V.",Anestésico de aplicación ótica.
LIDOCAINA,Parche,700 mg,IV,VERSATIS,166M2018,GRÜNENTHAL GMBH,Tratamiento del dolor neuropático localizado (DNL).
"LIDOCAÍNA, Clorhidrato de / NEOMICINA, Sulfato de / POLIMIXINA B, Sulfato de",Solución,"250 mg / 860 mg /
306,808 UI / 100 mL",IV,ALOSOL,73954 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.",Analgésico bucofaríngeo.
LIMECICLINA,Cápsula,150 mg  y  300 mg,IV,TETRALISAL,623M98 SSA,LABORATOIRES GALDERMA,Tetraciclina (antimicrobiano) para infecciones ocasionadas por gérmenes sensibles.
LINAGLIPTINA,Tableta,5 mg,IV,TRAYENTA,159M2011 SSA,"BOEHRINGER INGELHEIM PROMECO,
S.A. DE C.V.",Diabetes Mellitus tipo 2
"LINCOMICINA monohidratado, Clorhidrato de",Solución (Inyectable),300 mg / mL      y 600 mg / 2 mL,IV,LINCOCIN,62014 SSA,"PFIZER, S.A. DE C.V.",Antibiótico (macrólido) para infecciones ocasionadas por gérmenes sensibles.
LINCOMICINA,Cápsula,500 mg,IV,LINCOCIN,62016 SSA,"PFIZER, S.A. DE C.V.",Antibiótico para infecciones ocasionadas por bacterias susceptibles.
LINCOMICINA,Jarabe,5 g / 100 mL,IV,LINCOCIN,65768 SSA,"PFIZER, S.A. DE C.V.",Antibiótico para infecciones ocasionadas por bacterias susceptibles.
LINEZOLID,Tableta,600 mg,IV,ZYVOXAM,105M2000 SSA,"PFIZER, S.A. DE C.V.",Antibiótico (oxazolidinona) para infecciones provocadas por gérmenes susceptibles.
LINEZOLID,Solución (Inyectable),2 mg / mL,IV,ZYVOXAM,159M2000 SSA,"PFIZER, S.A. DE C.V.",Antibiótico (oxazolidinona) para infecciones ocasionadas por bacterias susceptibles.
LIOTIRONINA sódica,Tableta,25 mcg,IV,CYNOMEL,48740 SSA,"LABORATORIOS GROSSMAN, S.A.",Para el tratamiento del hipotiroidismo.
LIOTIRONINA sódica,Cápsula,75 mcg,IV,TRIYOTEX,073M94 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.",Tratamiento de hipotiroidismo.
LIOTIRONINA sódica,Tableta,5 mcg    y    10 mcg,IV,TRIOTEX,575M98 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.",Para el tratamiento del hipotiroidismo.
"LISINA, Clonixinato de",Comprimido,125 mg  y  250 mg,IV,DORIXINA,048M81 SSA,"SIEGFRIED RHEIN, S.A. DE C.V.",Analgésico.
"LISINA, Clonixinato de",Solución (Inyectable),100 mg / 2 mL,IV,DORIXINA,325M81 SSA,"SIEGFRIED RHEIN, S.A. DE C.V.",Analgésico.
"LISINA, Clonixinato de / CAFEÍNA Anhidra / ERGOTAMINA, Tartrato de",Tableta,"125 mg / 50 mg /
1 mg",II,ALTIOREM,249M2005 SSA,"WESER PHARMA,S.A. DE C.V.",Para el tratamiento de la cefalea de origen vascular.
"LISINA, Clonixinato de / CICLOBENZAPRINA, Clorhidrato de",Cápsula,250 mg / 10 mg,IV,YUREDOL,399M2002 SSA,"LABORATORIOS GROSSMAN, S.A.","Analgésico, Relajante muscular."
"LISINA, Clonixinato de / HIOSCINA, Butilbromuro de",Tableta,"125 mg / 10 mg  y
250 mg / 10 mg",IV,DONODOL COMPUESTO,456M94 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.","Analgésico, Antiespasmódico."
"LISINA, Clonixinato de / DICLOFENACO sódico",Tableta,250 mg / 50 mg,IV,PRESTOFLAM LD,394M2008 SSA,"FARMACÉUTICOS RAYERE, S.A.",Antiinflamatorio no esteroideo con acción analgésica.
"LISINA, Clonixinato de / HIOSCINA, Butilbromuro de",Cápsula,125 mg / 10 mg,IV,ESPACIL COMPUESTO,74286 SSA,"LABORATORIOS GROSSMAN, S.A.","Analgésico, Antiespasmódico."
"LISINA, Clonixinato de / PARGEVERINA, Clorhidrato de",Tableta,125 mg / 10 mg,IV,FIRAC-PLUS,029M93 SSA,"LABORATORIOS GROSSMAN, S.A.",Analgésico no narcótico y antiespasmódico.
"LISINA, Clonixinato de / HIOSCINA, Butilbromuro de",Solución (Inyectable),100 mg / 20 mg,IV,ESPACIL COMPUESTO,74042 SSA,"LABORATORIOS GROSSMAN, S.A.","Analgésico, Antiespasmódico."
"LISINA, Clonixinato de / TRAMADOL",Tableta,125 mg / 25mg; 250 mg / 25mg,IV,VALGION CLT,151M2010 SSA,"FARMACÉUTICOS RAYERE, S.A.",Para el tratamiento del dolor agudo de moderado a severo.
LISINOPRIL,Tableta,"5 mg,  10 mg   y
20 mg",IV,ZESTRIL,043M88 SSA,"ASTRAZENECA, S.A. DE C.V.",Antihipertensivo (inhidor de E.C.A.)
"LITIO, Carbonato de",Tableta,300 mg,III,LITHEUM 300,75859 SSA,"LABORATORIOS VALDECASAS, S.A.",Antipsicótico.
"LITIO, Carbonato de",Tableta (Liberación prolongada),300 mg,III,CARBOLIT LP,118M83 SSA,"PSICOFARMA, S.A. DE C.V.",Antipsicótico.
"LOMIFILINA / DIHIDROERGOCRISTINA, Mesilato
de",Comprimido (Liberación retardada),80 mg / 0.8 mg,III,CERVILAN,515M2016 SSA,"DINAFARMA,S.A. DE C.V.",Antivertiginoso y vasodilatador cerebral.
LOFLAZEPATO DE ETILO,Comprimido,2 mg,II,VICTAN,089M88 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.",Ansiolítico.
"LOPERAMIDA, Clorhidrato de",Tableta,2 mg,IV,IMODIUM,83335 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Diarrea aguda.
"LOPERAMIDA, Clorhidrato de",Tableta,2 mg,VI,LOMOTIL,58510 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Auxiliar en el tratamiento de la diarrea.
LOPINAVIR / RITONAVIR,Tableta,100 mg / 25mg   y 200 mg / 50mg,IV,KALETRA,219M2006 SSA,ABBVIE INC,Antirretroviral contra el VIH (SIDA).
LOPINAVIR / RITONAVIR,Solución,8 g / 2 g /100 mL,IV,KALETRA,556M2000 SSA,ABBVIE INC,Antirretroviral.
LORATADINA,Solución,"1 mg / 1 mL   y
0.1 g / 100 mL",VI,CLARITYNE,309M94 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Antialérgico.
LORATADINA (micronizada),Jarabe,100 mg / 100 mL,VI,CLARITYNE,001M89 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Antihistamínico.
LORATADINA (micronizada),Tableta,10 mg,VI,CLARITYNE,045M88 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Antihistamínico.
LORAZEPAM,Tableta,1 mg  y  2mg,II,ATIVAN,75881 SSA,"PFIZER, S.A. DE C.V.",Ansiolítico.
LORAZEPAM,Cápsula (Liberación prolongada),1 mg  y  2 mg,II,SINESTRON,81948 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.",Ansiolítico.
LOSARTAN Potásico,Comprimido,"12.5 mg, 50 mg  y
100 mg",IV,COZAAR,284M95 SSA,"SCHERING-PLOUGH, S.A. DE C.V.","Tratamiento de la insuficiencia cardiaca, Antihipertensivo."
LOTEPREDNOL / TOBRAMICINA,Suspensión,0.5 %  /  0.3 %,IV,ZYLETH,175M2016 SSA,"BAUSCH & LOMB, INCORPORATED","Corticoesteroide oftálmico, antibiótico de uso oftálmico."
LOXOPROFENO,Tableta,60 mg,IV,LOXONIN,194M2001 SSA,"SIEGFRIED RHEIN, S.A. DE C.V.","Analgésico, Antiinflamatorio con acción analgésica."
MACITENTÁN,Tableta,10 mg,IV,ZEPENDO,176M2014,"JANSSEN-CILAG, S.A. DE C.V.","Esta indicado para el tratamiento a largo plazo de la hipertensión arterial pulmonar (HAP) en adultos de clase funcional II a IV de la OMS como monoterapia o en combinación con inhibidores de la fosfodiesterasa-5 o prostanoides inhalados. La eficacia se ha demostrado en una población de HAP que incluye HAP idiopática, HAP hereditaria, HAP aociada a tratornos del tejido conectivo y HAP asociada a cardiopatía congénita."
MACROGOL 3350,Polvo,17 g    y    255 g,IV,CONTUMAX,137M2004 SSA,"ASOFARMA DE MÉXICO, S.A. DE C.V.",Laxante.
"MACROGOL 3350/
Bicarbonato de sodio/ Cloruro de sodio/ Cloruro de potasio",Polvo (Para solución),"105 g / 1.43 g / 2.8 g /
0.37 g",IV,NULYTELY,248M94 SSA,"ASOFARMA DE MÉXICO, S.A. DE C.V.",Laxante
MAGALDRATO / DOMPERIDONA,Tableta (Masticable),800 mg / 10 mg,IV,MEDIBUTIN,290M2014 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.","Indicado para el tratamiento sintomático de trastornos gastrointestinales asociados con hiperacidez y alteraciones en la motilidad gástrica como reflujo gastroesofágico, esofagitis, gastritis y dispepsia."
MAGALDRATO / DOMPERIDONA,Suspensión,"(8.0 g / 0.1 g) /
100 mL",IV,MEDIBUTIN,379M2014 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.","Indicado para el tratamiento sintomático de trastornos gastrointestinales asociados con hiperacidez y alteraciones en la motilidad gástrica como reflujo gastroesofágico, esofagitis, gastritis y dispepsia."
"MAGNESIO, Sulfato Heptahidratado de",Solución (Inyectable),"0.1 g / 1 mL    y
0.2 g / 1 mL",IV,MAGNEFUSIN,137M82 SSA,"LABORATORIOS PISA, S.A. DE C.V.",Hipomagnesemia.
MANITOL,Solución (Inyectable),20 g/ 100 mL,IV,"OSMITROL, (MANITOL) AL 20% EN AGUA INYECTABLE",70597 SSA,"BAXTER, S.A. DE C.V.",Diurético.
MARAVIROC,Tableta,150 mg  y  300 mg,IV,SELZENTRY,396M2008 SSA,"GLAXO WELLCOME, S.A.",Antirretroviral para el tratamiento de VIH-1
MAZINDOL,Cápsula (Liberación prolongada),2 mg,III,SOLUCAPS,87750 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.",Anorexigénico
MEBENDAZOL,Tableta,100 mg  y  500mg,VI,VERMOX,80029 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Tratamiento para eliminar parásitos intestinales.
MEBENDAZOL,Suspensión,20 mg / mL  y 60 mg / mL,VI,VERMOX,84402 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Tratamiento para eliminar parásitos intestinales.
MEBENDAZOL / QUINFAMIDA,Tableta,300 mg / 150 mg,VI,VERMOX PLUS,673M2005 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Antiparasitario.
MEBENDAZOL / QUINFAMIDA,Suspensión,60 mg / 10 mg / mL   y 60 mg / 20 mg / mL,VI,VERMOX PLUS,678M2005 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Antiamibiano. Antihelmíntico.
MEBENDAZOL / TINIDAZOL,Tableta,60 mg / 300 mg,V,MEBECICLOL,85728 SSA,"DINAFARMA, S.A. DE C.V.","Antiamibiano, antihelmíntico."
"MEBEVERINA, Clorhidrato de",Cápsula (Liberación prolongada),200 mg,IV,DUSPATALIN,314M2002 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Antiespasmódico.
"MEBEVERINA, Clorhidrato de",Suspensión,1 g / 100 mL,IV,DUSPATALIN PEDIATRICO,259M2009 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Para alivio del cólico o dolor abdominal secundario a síndrome de intestino irritable.
"MECLOZINA, Clorhidrato de / PIRIDOXINA, Clorhidrato de",Tableta,25 mg / 50 mg,IV,BONADOXINA,45910 SSA,"PFIZER, S.A. DE C.V.",Antiemético.
"MECLOZINA, Clorhidrato de / PIRIDOXINA, Clorhidrato de",Jarabe,"0.297 g / 0.608 g /
100 mL",IV,BONADOXINA,89644 SSA,"PFIZER, S.A. DE C.V.",Antiemético.
"MEDROXIPROGESTERONA,
Acetato de",Suspensión (inyectable),150 mg / mL,IV,DEPO-PROVERA,59742 SSA,"PFIZER, S.A. DE C.V.",Anovulatorio.
"MEDROXIPROGESTERONA,
Acetato de",Tableta,5 mg  y  10 mg,IV,PROVERA,59797 SSA,"PFIZER, S.A. DE C.V.",Progestágeno.
MEDROXIPROGESTERONA,Suspensión (Inyectable),104 mg / 0.65 mL,IV,SAYANA,473M2015 SSA,PHARMACIA AND UPJOHN COMPANY LLC,"Anticonceptivo, Endometriosis."
MELATONINA,Tableta,3 mg  y  5 mg,IV,BENEDORM,389M98 SSA,"LABORATORIOS GROSSMAN, S.A.",Auxiliar en el insomnio.
MELATONINA,Cápsula (Liberación prolongada),3 mg  y  5 mg,VI,CRONOCAPS,591M97 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.",Inductor del sueño (para el alivio del insomnio ocasional).
MELFALÁN,Tableta,2 mg,IV,ALKERAN,62511 SSA,ASPEN PHARMA PTY LTD,"Tratamiento del cáncer de mama, tratamiento del CA de ovario metastásico."
MELOXICAM,Cápsula,7.5 mg  y  15.0 mg,IV,EXEL,028M98 SSA,"LABORATORIOS SENOSIAIN, S.A. DE C.V.",Antiinflamatorio no esteroideo.
"MEMANTINA, Clorhidrato de",Tableta,"5 mg, 10 mg, 15 mg  y
20 mg",IV,AKATINOL,538M94 SSA,MERZ PHARMA GMBH & CO. KGAA.,"Neuroprotector, antagonista de los receptores NMDA."
"MENADIONA, bisulfito sódico de",Solución (Inyectable),50 mg/5 mL,IV,K-50,40041 SSA,"LABORATORIOS GROSSMAN, S.A.",Hipoprotrombinemia.
MERCAPTOPURINA,Tableta,50 mg,IV,PURINETHOL,50519 SSA,ASPEN PHARMA PTY LTD,Tratamiento de leucemia aguda. Indicada en el tratamiento en las leucemias agudas linfoblásticas y mielógenas.
MEROPENEM,Solución (Inyectable),500 mg  y  1 g,IV,MERREM I. V.,426M95 SSA,"PFIZER, S.A. DE C.V.",Antibiótico para infecciones por bacterias susceptibles.
MESALAZINA,Supositorio (Liberación prolongada),1 g,IV,PENTASA,537M97 SSA,FERRING INTERNATIONAL CENTER SA,Proctitis ulcerativa.
MESALAZINA,Tableta (Liberación prolongada),500 mg  y  1 g,IV,PENTASA,063M98 SSA,FERRING INTERNATIONAL CENTER SA,Colitis ulcerativa leve o moderada.
MESALAZINA,Granulado (Liberación prolongada),1 g  y  2 g,IV,PENTASA,611M2004 SSA,FERRING INTERNATIONAL CENTER SA,Colitis ulcerativa leve o moderada.
MESALAZINA,Supositorio,"250 mg, 500 mg  y  1 g",IV,SALOFALK,014M90 SSA,"SCHWABE MÉXICO, S.A. DE C.V.","Colitis ulcerativa aguda, localizada únicamente en el recto y sigmoides. En el tratamiento de inflamación de hemorroides internas."
MESALAZINA,Tableta (Liberación retardada),250 mg  y  500 mg,IV,SALOFALK,046M89 SSA,"SCHWABE MÉXICO, S.A. DE C.V.","Enfermedad inflamatoria intestinal, síntomas asociados con la enfermedad diverticular sin complicaciones del colon. Para el tratamiento de episodios agudos y el mantenimiento de la remisión de la colitis ulcerativa. Para el tratamiento de episodios agudos de la enfermedad de Crohn."
MESALAZINA,Suspensión (Para enema),4 g / 60 mL,IV,SALOFALK,326M2014 SSA,"SCHWABE MÉXICO, S.A. DE C.V.",Tratamiento de episodios agudos y prevención de recurrencias de la colitis ulcerativa localizada en el recto y  el sigmoides.
MESALAZINA,Comprimido (Liberación prolongada),1200 mg,IV,ATEKA,380M2014 SSA,ALFASIGMA S.P.A.,Enfermedad inflamatoria crónica intestinal. Para remisión de la colitis ulcerosa crónica inespecífica de leve a moderada. Mantenimiento de la remisión de la enfermedad de Crohn y Enfermedad divertículo del colon.
MESNA,Solución (Inyectable),400 mg / 4 mL,IV,UROMITEXAN,403M90 SSA,"BAXTER, S.A. DE C.V.",Prevención de la toxicidad en vías urinarias en pacientes tratados con oxazafosforinas.
"METADONA, Clorhidrato de",Tableta (Dispersable),40 mg,I,AMIDONE,010M2008 SSA,"PSICOFARMA, S.A. DE C.V.",Analgésico narcótico.
"METADONA, Clorhidrato de",Solución,1 g / 100 mL,I,AMIDONE LIQUID,229M2012 SSA,"PSICOFARMA, S.A. DE C.V.",Analgésico narcótico.
METADOXINA,Tableta,500 mg,IV,ABRIXONE,473M2003 SSA,"DINAFARMA, S.A. DE C.V.",Para el tratamiento de algunos síntomas ocasionados por la ingesta de bebidas alcohólicas.
METAMIZOL sódico,Tableta,500 mg,IV,NEO-MELUBRINA,5909 SSA,"SANOFI-AVENTIS DE MÉXICO,
S.A. DE C.V.","Analgésico, antipirético."
METAMIZOL sódico,Supositorio,1 g  y  300 mg,IV,NEO-MELUBRINA,72159 SSA,"SANOFI-AVENTIS DE MÉXICO,
S.A. DE C.V.","Analgésico, antipirético."
METAMIZOL sódico,Jarabe,250 mg / 5 mL,IV,NEO-MELUBRINA,72220 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.","Analgésico, antipirético."
METAMIZOL sódico,Solución (Inyectable),"1 g/2 mL  y
2.5 g/5 mL",IV,NEO-MELUBRINA,7309 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.","Analgésico, antipirético."
"METENAMINA, Hipurato de",Tableta,1 g,IV,HIPREX,61866 SSA,"GRIMANN, S.A. DE C.V.",Antibacteriano de vías urinarias.
"METFORMINA, Clorhidrato de",Tableta (Liberación prolongada),850 mg,IV,DEBEONE D.T. NF,083M95 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Para el tratamiento de la diabetes mellitus tipo 2.
"METFORMINA, Clorhidrato de",Tableta,"500 mg, 850 mg  y
1000 mg",IV,DABEX,491M95 SSA,"MERCK, S.A. DE C.V.",Prevención y tratamiento de la diabetes Mellitus tipo 2.
"METFORMINA, Clorhidrato de",Tableta (Liberación prolongada),"500 mg, 750 mg  y
1000 mg",IV,DABEX XR,602M2002 SSA,"MERCK, S.A. DE C.V.",Prevención y tratamiento de la diabetes mellitus tipo 2.
"METFORMINA, Clorhidrato de / GLIBENCLAMIDA",Tableta,"250 mg / 1.25 mg,
500 mg / 2.5 mg,
500 mg / 5 mg  y
1 000 mg / 5 mg",IV,GLUCOVANCE,565M95 SSA,"MERCK, S.A. DE C.V.",Para el Tratamiento de Diabetes Mellitus tipo 2.
"METFORMINA, Clorhidrato de/ CLORPROPAMIDA",Tableta,513 mg / 125 mg,IV,INSOGEN PLUS,55297 SSA,"ITALMEX, S.A.",Para el tratamiento de la diabetes mellitus tipo 2.
METILDOPA,Tableta,250 mg y 500 mg,IV,ALDOMET,57518 SSA,ASPEN PHARMA PTY LTD,Tratamiento de la hipertensión arterial sistémica.
"METILFENIDATO,
Clorhidrato de",Cápsula (Liberación prolongada),"10 mg, 20 mg,
30 mg  y  40 mg",II,RITALIN LA,586M2002 SSA,NOVARTIS PHARAMA AG,Trastorno del déficit de atención con hiperactividad.
"METILFENIDATO,
Clorhidrato de",Tableta,10 mg,II,RITALIN,44836 SSA,NOVARTIS PHARAMA AG,Neuroestimulante.
"METILFENIDATO,
Clorhidrato de",Tableta (Liberación prolongada),"18 mg, 27 mg,
36 mg  y  54 mg",II,CONCERTA,136M2002 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Estimulante del sistema nervioso central.
"METILPREDNISOLONA,
Acetato de",Suspensión (Inyectable),40 mg/mL,IV,DEPO-MEDROL,55041 SSA,"PFIZER, S.A. DE C.V.",Corticosteroide.
